Text,Language,Label
@patrickbetdavid @barnes_law Where’s some @thunderf00t when you need one?,en,litigious
He said Megan was dead silent while he was literally about to commit suicide?! He’s wrong for putting her in that position but was she just sitting here like it’s no big deal?!?! https://t.co/rv1n5GFmJu,en,negative
"@dclarke1984 @PLnewstoday Baron of the Taiga is also very good, and again, over time has been proven way more right than wrong",en,negative
"@ziibiing My doc was like “We can do this if you want, but it’s way easier for your husband to get a vasectomy!” INDEED",en,positive
oooh didn’t Oracle just score that contract with them https://t.co/9ywUbaTBTn,en,litigious
@utdcynical Nahh dat is too funny. They were getting too excited,en,positive
"Anyone thinking @UKLabour, under super-authoritarian &amp; cop fluffer @Keir_Starmer,  will repeal the Tories' draconian anti-protest law, in the unlikely event he ever makes it into No. 10, hit me up - bridges for sale &amp; Nigerian Princes await you.

#SteveBray #ProtestIsARight",en,litigious
@mford84 @JamesF_Campbell @DanielJonKnight @GNev2 Correction - some asylum seekers coming from Wales to England might have crossed the Bristol Channel . This would breach the stretch of water criterion.,en,litigious
@Awwkayy So i been wearing wigs and i been able to cowash more regularly and i feel like sometimes you gotta double book some dates on some of these men and gone head and have somewhere else to be so these men know they aint got it like that i never tried shea moisture for my curls.,en,uncertainty
It's the 21st century and these past few decades have shown that  cis women are just as capable as cis men at wanton devotion to child sacrifice and labor law violations! I am educating myself and reflecting on my bias and ask for your patience.,en,litigious
@BarstoolU You’ve lost your mind. 😤,en,negative
"i find myself avoiding certain questions sometimes ... i guess i just cant answer questions like ""how are you?"", because in all honesty, i don't even know who i am anymore, so how am i supposed to answer a question for someone i don't even know",en,negative
@Carloscuesta02 El sr Lebaron es víctima y Lopez es un maldito criminal.,es,litigious
"@Nonnomay17 May start the season with that group. That group gets them into playoffs.

Then search for a bigger piece during the season. If kids continue to improve and Muzzin stays healthy maybe a good hockey deal can be made.

Need 7 D that can play. They have that.",en,positive
"Not my coworker telling me i have perfect, pretty teeth 🦷 👀",en,positive
❝Keep the music playin' or we're gonna have a problem!❞ #KillBot,en,negative
"@sean_m_maguire,

Ashley Marie: Tell him /I/ love him and I miss him terribly and I’m excited for La and tampa 🤍",en,positive
Sweet dreams https://t.co/5om3QtCLND,en,positive
@mu1tifand0m_x happy to hear that!! i don't have school for the next 2 months so I'm good and also excited for this summer:)),en,positive
"@bostonwriter aka a flawed sample size (as all the left's polls tend to be) resulting in inaccurate results. Its both error carry through, and self fulfilling prophecy. If we polled a 75% registered 1004 GOP you'd see equally skewed results.",en,negative
@ReallyAmerican1 They have to change that. Also require child support to begin at conception. Criminal consequences for failure to pay prenatal and post natal child support.,en,litigious
@SethAbramson There has to be a list somewhere of OTHER corrupt companies in Ukraine? Why not show that list to House or Senate and ask why these companies haven't been in Trump's cross hairs?,en,uncertainty
@shybangchan I can’t. I’m so excited for you!!!,en,positive
"@rodriguez94rob He absolutely is, this piece was inspired by Texas/cowboys and the 915 is the most insane happy accident ever woah",en,negative
